Model,MSO66B
Label,
Waveform Type,ANALOG
Horizontal Units,s
Sample Interval,4.00000000e-11
Record Length,10000
Zero Index,1599.19140625
Vertical Units,A
ANALOG_Thumbnail,
yOffset,1.84500000e-01
yPosition,8.40000000e-01

Labels,
TIME,CH1
-6.39676562e-08,1.90878125e-01
-6.39276562e-08,1.90948438e-01
-6.38876562e-08,1.90698438e-01
-6.38476563e-08,1.90439063e-01
-6.38076562e-08,1.90537500e-01
-6.37676563e-08,1.90471875e-01
-6.37276562e-08,1.90521875e-01
-6.36876562e-08,1.90479687e-01
-6.36476562e-08,1.90518750e-01
-6.36076562e-08,1.90482813e-01
-6.35676563e-08,1.90517188e-01
-6.35276562e-08,1.90482813e-01
-6.34876562e-08,1.90518750e-01
-6.34476562e-08,1.90479687e-01
-6.34076562e-08,1.90525000e-01
-6.33676562e-08,1.90465625e-01
-6.33276562e-08,1.90557813e-01
-6.32876563e-08,1.90289062e-01
-6.32476562e-08,1.90046875e-01
-6.32076562e-08,1.90129688e-01
-6.31676562e-08,1.90079688e-01
-6.31276562e-08,1.90117188e-01
-6.30876562e-08,1.90085937e-01
-6.30476562e-08,1.90112500e-01
-6.30076563e-08,1.90087500e-01
-6.29676562e-08,1.90112500e-01
-6.29276562e-08,1.90085937e-01
-6.28876562e-08,1.90115625e-01
-6.28476562e-08,1.90082813e-01
-6.28076562e-08,1.90121875e-01
-6.27676562e-08,1.90068750e-01
-6.27276563e-08,1.90156250e-01
-6.26876562e-08,1.89890625e-01
-6.26476562e-08,1.89646875e-01
-6.26076562e-08,1.89729688e-01
-6.25676562e-08,1.89679687e-01
-6.25276562e-08,1.89715625e-01
-6.24876562e-08,1.89687500e-01
-6.24476563e-08,1.89709375e-01
-6.24076562e-08,1.89690625e-01
-6.23676562e-08,1.89707813e-01
-6.23276562e-08,1.89693750e-01
-6.22876562e-08,1.89706250e-01
-6.22476562e-08,1.89693750e-01
-6.22076562e-08,1.89704687e-01
-6.21676563e-08,1.89695313e-01
-6.21276562e-08,1.89704687e-01
-6.20876562e-08,1.89696875e-01
-6.20476562e-08,1.89703125e-01
-6.20076562e-08,1.89696875e-01
-6.19676562e-08,1.89703125e-01
-6.19276562e-08,1.89696875e-01
-6.18876563e-08,1.89701563e-01
-6.18476562e-08,1.89698438e-01
-6.18076562e-08,1.89701563e-01
-6.17676562e-08,1.89698438e-01
-6.17276562e-08,1.89700000e-01
-6.16876562e-08,1.89700000e-01
-6.16476562e-08,1.89698438e-01
-6.16076563e-08,1.89701563e-01
-6.15676562e-08,1.89695313e-01
-6.15276562e-08,1.89706250e-01
-6.14876562e-08,1.89689063e-01
-6.14476562e-08,1.89720313e-01
-6.14076563e-08,1.89654688e-01
-6.13676562e-08,1.89896875e-01
-6.13276563e-08,1.90165625e-01
-6.12876562e-08,1.90056250e-01
-6.12476562e-08,1.90135938e-01
-6.12076562e-08,1.90067188e-01
-6.11676562e-08,1.90132812e-01
-6.11276563e-08,1.90062500e-01
-6.10876562e-08,1.90145312e-01
-6.10476563e-08,1.90029688e-01
-6.10076562e-08,1.90323437e-01
-6.09676562e-08,1.90539062e-01
-6.09276562e-08,1.90485938e-01
-6.08876562e-08,1.90504688e-01
-6.08476563e-08,1.90503125e-01
-6.08076562e-08,1.90489063e-01
-6.07676563e-08,1.90521875e-01
-6.07276562e-08,1.90453125e-01
-6.06876562e-08,1.90700000e-01
-6.06476562e-08,1.90960938e-01
