Model,MSO66B
Label,
Waveform Type,ANALOG
Horizontal Units,s
Sample Interval,4.00000000e-11
Record Length,10000
Zero Index,1599.85937500
Vertical Units,A
ANALOG_Thumbnail,
yOffset,1.84500000e-01
yPosition,8.40000000e-01

Labels,
TIME,CH1
-6.39943750e-08,1.93695312e-01
-6.39543750e-08,1.93704688e-01
-6.39143750e-08,1.93695312e-01
-6.38743750e-08,1.93704688e-01
-6.38343750e-08,1.93695312e-01
-6.37943750e-08,1.93703125e-01
-6.37543750e-08,1.93696875e-01
-6.37143750e-08,1.93703125e-01
-6.36743750e-08,1.93696875e-01
-6.36343750e-08,1.93703125e-01
-6.35943750e-08,1.93696875e-01
-6.35543750e-08,1.93703125e-01
-6.35143750e-08,1.93696875e-01
-6.34743750e-08,1.93703125e-01
-6.34343750e-08,1.93696875e-01
-6.33943750e-08,1.93703125e-01
-6.33543750e-08,1.93696875e-01
-6.33143750e-08,1.93703125e-01
-6.32743750e-08,1.93698438e-01
-6.32343750e-08,1.93701563e-01
-6.31943750e-08,1.93698438e-01
-6.31543750e-08,1.93701563e-01
-6.31143750e-08,1.93698438e-01
-6.30743750e-08,1.93701563e-01
-6.30343750e-08,1.93698438e-01
-6.29943750e-08,1.93701563e-01
-6.29543750e-08,1.93698438e-01
-6.29143750e-08,1.93701563e-01
-6.28743750e-08,1.93698438e-01
-6.28343750e-08,1.93701563e-01
-6.27943750e-08,1.93698438e-01
-6.27543750e-08,1.93701563e-01
-6.27143750e-08,1.93698438e-01
-6.26743750e-08,1.93701563e-01
-6.26343750e-08,1.93698438e-01
-6.25943750e-08,1.93701563e-01
-6.25543750e-08,1.93700000e-01
-6.25143750e-08,1.93700000e-01
-6.24743750e-08,1.93700000e-01
-6.24343750e-08,1.93700000e-01
-6.23943750e-08,1.93700000e-01
-6.23543750e-08,1.93700000e-01
-6.23143750e-08,1.93700000e-01
-6.22743750e-08,1.93700000e-01
-6.22343750e-08,1.93700000e-01
-6.21943750e-08,1.93700000e-01
-6.21543750e-08,1.93700000e-01
-6.21143750e-08,1.93700000e-01
-6.20743750e-08,1.93700000e-01
-6.20343750e-08,1.93700000e-01
-6.19943750e-08,1.93701563e-01
-6.19543750e-08,1.93698438e-01
-6.19143750e-08,1.93701563e-01
-6.18743750e-08,1.93698438e-01
-6.18343750e-08,1.93701563e-01
-6.17943750e-08,1.93698438e-01
-6.17543750e-08,1.93703125e-01
-6.17143750e-08,1.93696875e-01
-6.16743750e-08,1.93703125e-01
-6.16343750e-08,1.93696875e-01
-6.15943750e-08,1.93704688e-01
-6.15543750e-08,1.93695312e-01
-6.15143750e-08,1.93706250e-01
-6.14743750e-08,1.93692188e-01
-6.14343750e-08,1.93709375e-01
-6.13943750e-08,1.93689063e-01
-6.13543750e-08,1.93714063e-01
-6.13143750e-08,1.93681250e-01
-6.12743750e-08,1.93729687e-01
-6.12343750e-08,1.93645312e-01
-6.11943750e-08,1.93907812e-01
-6.11543750e-08,1.94154688e-01
-6.11143750e-08,1.94068750e-01
-6.10743750e-08,1.94121875e-01
-6.10343750e-08,1.94082813e-01
-6.09943750e-08,1.94114063e-01
-6.09543750e-08,1.94089063e-01
-6.09143750e-08,1.94109375e-01
-6.08743750e-08,1.94092188e-01
-6.08343750e-08,1.94107813e-01
-6.07943750e-08,1.94093750e-01
-6.07543750e-08,1.94106250e-01
-6.07143750e-08,1.94095313e-01
-6.06743750e-08,1.94104688e-01
