Model,MSO66B
Label,
Waveform Type,ANALOG
Horizontal Units,s
Sample Interval,4.00000000e-11
Record Length,10000
Zero Index,1599.14843750
Vertical Units,A
ANALOG_Thumbnail,
yOffset,1.84500000e-01
yPosition,8.40000000e-01

Labels,
TIME,CH1
-6.39659375e-08,1.89279688e-01
-6.39259375e-08,1.89320313e-01
-6.38859375e-08,1.89281250e-01
-6.38459375e-08,1.89318750e-01
-6.38059375e-08,1.89281250e-01
-6.37659375e-08,1.89317188e-01
-6.37259375e-08,1.89282813e-01
-6.36859375e-08,1.89317188e-01
-6.36459375e-08,1.89281250e-01
-6.36059375e-08,1.89318750e-01
-6.35659375e-08,1.89281250e-01
-6.35259375e-08,1.89320313e-01
-6.34859375e-08,1.89279688e-01
-6.34459375e-08,1.89323437e-01
-6.34059375e-08,1.89273438e-01
-6.33659375e-08,1.89331250e-01
-6.33259375e-08,1.89259375e-01
-6.32859375e-08,1.89365625e-01
-6.32459375e-08,1.89082813e-01
-6.32059375e-08,1.88856250e-01
-6.31659375e-08,1.88920313e-01
-6.31259375e-08,1.88889063e-01
-6.30859375e-08,1.88906250e-01
-6.30459375e-08,1.88896875e-01
-6.30059375e-08,1.88901563e-01
-6.29659375e-08,1.88900000e-01
-6.29259375e-08,1.88898438e-01
-6.28859375e-08,1.88903125e-01
-6.28459375e-08,1.88896875e-01
-6.28059375e-08,1.88904688e-01
-6.27659375e-08,1.88893750e-01
-6.27259375e-08,1.88906250e-01
-6.26859375e-08,1.88892188e-01
-6.26459375e-08,1.88909375e-01
-6.26059375e-08,1.88889063e-01
-6.25659375e-08,1.88912500e-01
-6.25259375e-08,1.88884375e-01
-6.24859375e-08,1.88920313e-01
-6.24459375e-08,1.88868750e-01
-6.24059375e-08,1.88956250e-01
-6.23659375e-08,1.88690625e-01
-6.23259375e-08,1.88446875e-01
-6.22859375e-08,1.88529688e-01
-6.22459375e-08,1.88479687e-01
-6.22059375e-08,1.88515625e-01
-6.21659375e-08,1.88487500e-01
-6.21259375e-08,1.88510938e-01
-6.20859375e-08,1.88490625e-01
-6.20459375e-08,1.88507813e-01
-6.20059375e-08,1.88492188e-01
-6.19659375e-08,1.88506250e-01
-6.19259375e-08,1.88493750e-01
-6.18859375e-08,1.88506250e-01
-6.18459375e-08,1.88493750e-01
-6.18059375e-08,1.88506250e-01
-6.17659375e-08,1.88493750e-01
-6.17259375e-08,1.88506250e-01
-6.16859375e-08,1.88493750e-01
-6.16459375e-08,1.88506250e-01
-6.16059375e-08,1.88493750e-01
-6.15659375e-08,1.88506250e-01
-6.15259375e-08,1.88492188e-01
-6.14859375e-08,1.88507813e-01
-6.14459375e-08,1.88490625e-01
-6.14059375e-08,1.88510938e-01
-6.13659375e-08,1.88485938e-01
-6.13259375e-08,1.88518750e-01
-6.12859375e-08,1.88471875e-01
-6.12459375e-08,1.88553125e-01
-6.12059375e-08,1.88293750e-01
-6.11659375e-08,1.88043750e-01
-6.11259375e-08,1.88132812e-01
-6.10859375e-08,1.88076563e-01
-6.10459375e-08,1.88118750e-01
-6.10059375e-08,1.88084375e-01
-6.09659375e-08,1.88114063e-01
-6.09259375e-08,1.88087500e-01
-6.08859375e-08,1.88112500e-01
-6.08459375e-08,1.88089063e-01
-6.08059375e-08,1.88110938e-01
-6.07659375e-08,1.88089063e-01
-6.07259375e-08,1.88110938e-01
-6.06859375e-08,1.88087500e-01
-6.06459375e-08,1.88112500e-01
