Model,MSO66B
Label,
Waveform Type,ANALOG
Horizontal Units,s
Sample Interval,4.00000000e-11
Record Length,100000
Zero Index,15999.02734375
Vertical Units,A
ANALOG_Thumbnail,
yOffset,1.84500000e-01
yPosition,8.40000000e-01

Labels,
TIME,CH1
-6.39961094e-07,1.92101563e-01
-6.39921094e-07,1.92098437e-01
-6.39881094e-07,1.92101563e-01
-6.39841094e-07,1.92098437e-01
-6.39801094e-07,1.92101563e-01
-6.39761094e-07,1.92098437e-01
-6.39721094e-07,1.92101563e-01
-6.39681094e-07,1.92098437e-01
-6.39641094e-07,1.92101563e-01
-6.39601094e-07,1.92098437e-01
-6.39561094e-07,1.92101563e-01
-6.39521094e-07,1.92098437e-01
-6.39481094e-07,1.92101563e-01
-6.39441094e-07,1.92098437e-01
-6.39401094e-07,1.92101563e-01
-6.39361094e-07,1.92098437e-01
-6.39321094e-07,1.92101563e-01
-6.39281094e-07,1.92098437e-01
-6.39241094e-07,1.92101563e-01
-6.39201094e-07,1.92098437e-01
-6.39161094e-07,1.92101563e-01
-6.39121094e-07,1.92098437e-01
-6.39081094e-07,1.92101563e-01
-6.39041094e-07,1.92098437e-01
-6.39001094e-07,1.92101563e-01
-6.38961094e-07,1.92098437e-01
-6.38921094e-07,1.92101563e-01
-6.38881094e-07,1.92098437e-01
-6.38841094e-07,1.92101563e-01
-6.38801094e-07,1.92098437e-01
-6.38761094e-07,1.92101563e-01
-6.38721094e-07,1.92098437e-01
-6.38681094e-07,1.92101563e-01
-6.38641094e-07,1.92098437e-01
-6.38601094e-07,1.92101563e-01
-6.38561094e-07,1.92098437e-01
-6.38521094e-07,1.92101563e-01
-6.38481094e-07,1.92098437e-01
-6.38441094e-07,1.92101563e-01
-6.38401094e-07,1.92098437e-01
-6.38361094e-07,1.92101563e-01
-6.38321094e-07,1.92098437e-01
-6.38281094e-07,1.92101563e-01
-6.38241094e-07,1.92098437e-01
-6.38201094e-07,1.92101563e-01
-6.38161094e-07,1.92098437e-01
-6.38121094e-07,1.92101563e-01
-6.38081094e-07,1.92098437e-01
-6.38041094e-07,1.92101563e-01
-6.38001094e-07,1.92098437e-01
-6.37961094e-07,1.92101563e-01
-6.37921094e-07,1.92098437e-01
-6.37881094e-07,1.92101563e-01
-6.37841094e-07,1.92098437e-01
-6.37801094e-07,1.92101563e-01
-6.37761094e-07,1.92098437e-01
-6.37721094e-07,1.92101563e-01
-6.37681094e-07,1.92098437e-01
-6.37641094e-07,1.92101563e-01
-6.37601094e-07,1.92098437e-01
-6.37561094e-07,1.92101563e-01
-6.37521094e-07,1.92098437e-01
-6.37481094e-07,1.92101563e-01
-6.37441094e-07,1.92098437e-01
-6.37401094e-07,1.92101563e-01
-6.37361094e-07,1.92098437e-01
-6.37321094e-07,1.92101563e-01
-6.37281094e-07,1.92098437e-01
-6.37241094e-07,1.92101563e-01
-6.37201094e-07,1.92098437e-01
-6.37161094e-07,1.92103125e-01
-6.37121094e-07,1.92096875e-01
-6.37081094e-07,1.92103125e-01
-6.37041094e-07,1.92096875e-01
-6.37001094e-07,1.92103125e-01
-6.36961094e-07,1.92096875e-01
-6.36921094e-07,1.92103125e-01
-6.36881094e-07,1.92096875e-01
-6.36841094e-07,1.92103125e-01
-6.36801094e-07,1.92096875e-01
-6.36761094e-07,1.92103125e-01
-6.36721094e-07,1.92096875e-01
-6.36681094e-07,1.92103125e-01
-6.36641094e-07,1.92096875e-01
