Model,MSO66B
Label,
Waveform Type,ANALOG
Horizontal Units,s
Sample Interval,4.00000000e-11
Record Length,25000
Zero Index,12499.03906250
Vertical Units,A
ANALOG_Thumbnail,
yOffset,1.84500000e-01
yPosition,0.00000000e+00

Labels,
TIME,CH1
-4.99961562e-07,1.87533219e-01
-4.99921562e-07,1.87497875e-01
-4.99881562e-07,1.87538656e-01
-4.99841563e-07,1.87478844e-01
-4.99801562e-07,1.87641969e-01
-4.99761562e-07,1.87774281e-01
-4.99721562e-07,1.87736219e-01
-4.99681562e-07,1.87754344e-01
-4.99641562e-07,1.87745281e-01
-4.99601562e-07,1.87747094e-01
-4.99561563e-07,1.87751625e-01
-4.99521562e-07,1.87740750e-01
-4.99481562e-07,1.87761594e-01
-4.99441562e-07,1.87719906e-01
-4.99401562e-07,1.87865813e-01
-4.99361562e-07,1.88013531e-01
-4.99321562e-07,1.87960062e-01
-4.99281563e-07,1.87994500e-01
-4.99241562e-07,1.87969125e-01
-4.99201562e-07,1.87989062e-01
-4.99161562e-07,1.87972750e-01
-4.99121562e-07,1.87986344e-01
-4.99081562e-07,1.87974562e-01
-4.99041562e-07,1.87985437e-01
-4.99001563e-07,1.87975469e-01
-4.98961562e-07,1.87984531e-01
-4.98921562e-07,1.87976375e-01
-4.98881562e-07,1.87983625e-01
-4.98841562e-07,1.87977281e-01
-4.98801562e-07,1.87982719e-01
-4.98761562e-07,1.87977281e-01
-4.98721563e-07,1.87982719e-01
-4.98681562e-07,1.87978188e-01
-4.98641562e-07,1.87981812e-01
-4.98601562e-07,1.87978188e-01
-4.98561562e-07,1.87981812e-01
-4.98521562e-07,1.87978188e-01
-4.98481562e-07,1.87980906e-01
-4.98441563e-07,1.87979094e-01
-4.98401562e-07,1.87980906e-01
-4.98361562e-07,1.87979094e-01
-4.98321562e-07,1.87980906e-01
-4.98281562e-07,1.87979094e-01
-4.98241562e-07,1.87980906e-01
-4.98201562e-07,1.87979094e-01
-4.98161563e-07,1.87980000e-01
-4.98121562e-07,1.87980000e-01
-4.98081562e-07,1.87980000e-01
-4.98041562e-07,1.87980000e-01
-4.98001562e-07,1.87980000e-01
-4.97961562e-07,1.87980000e-01
-4.97921562e-07,1.87980000e-01
-4.97881563e-07,1.87980000e-01
-4.97841562e-07,1.87980000e-01
-4.97801562e-07,1.87980000e-01
-4.97761562e-07,1.87980000e-01
-4.97721562e-07,1.87980000e-01
-4.97681562e-07,1.87980000e-01
-4.97641562e-07,1.87980000e-01
-4.97601563e-07,1.87980000e-01
-4.97561562e-07,1.87980000e-01
-4.97521562e-07,1.87980000e-01
-4.97481562e-07,1.87980000e-01
-4.97441562e-07,1.87980000e-01
-4.97401562e-07,1.87980000e-01
-4.97361562e-07,1.87980000e-01
-4.97321563e-07,1.87980000e-01
-4.97281562e-07,1.87980906e-01
-4.97241562e-07,1.87979094e-01
-4.97201562e-07,1.87981812e-01
-4.97161562e-07,1.87976375e-01
-4.97121562e-07,1.87986344e-01
-4.97081562e-07,1.87969125e-01
-4.97041563e-07,1.88005375e-01
-4.97001562e-07,1.87866719e-01
-4.96961562e-07,1.87708125e-01
-4.96921562e-07,1.87774281e-01
-4.96881562e-07,1.87725344e-01
-4.96841562e-07,1.87768844e-01
-4.96801562e-07,1.87727156e-01
-4.96761563e-07,1.87771562e-01
-4.96721562e-07,1.87719000e-01
-4.96681562e-07,1.87790594e-01
-4.96641562e-07,1.87616594e-01
