Model,MSO66B
Label,
Waveform Type,ANALOG
Horizontal Units,s
Sample Interval,4.00000000e-11
Record Length,100000
Zero Index,15999.11718750
Vertical Units,A
ANALOG_Thumbnail,
yOffset,1.84500000e-01
yPosition,8.40000000e-01

Labels,
TIME,CH1
-6.39964687e-07,1.86932813e-01
-6.39924687e-07,1.86842188e-01
-6.39884687e-07,1.87109375e-01
-6.39844687e-07,1.87353125e-01
-6.39804688e-07,1.87268750e-01
-6.39764687e-07,1.87321875e-01
-6.39724687e-07,1.87282813e-01
-6.39684687e-07,1.87315625e-01
-6.39644687e-07,1.87285937e-01
-6.39604687e-07,1.87314063e-01
-6.39564687e-07,1.87285937e-01
-6.39524688e-07,1.87315625e-01
-6.39484687e-07,1.87284375e-01
-6.39444687e-07,1.87318750e-01
-6.39404687e-07,1.87276563e-01
-6.39364687e-07,1.87332813e-01
-6.39324687e-07,1.87242188e-01
-6.39284687e-07,1.87509375e-01
-6.39244688e-07,1.87753125e-01
-6.39204687e-07,1.87670313e-01
-6.39164687e-07,1.87720313e-01
-6.39124687e-07,1.87684375e-01
-6.39084687e-07,1.87712500e-01
-6.39044687e-07,1.87689063e-01
-6.39004687e-07,1.87710938e-01
-6.38964688e-07,1.87690625e-01
-6.38924687e-07,1.87709375e-01
-6.38884687e-07,1.87690625e-01
-6.38844687e-07,1.87710938e-01
-6.38804687e-07,1.87689063e-01
-6.38764687e-07,1.87712500e-01
-6.38724687e-07,1.87684375e-01
-6.38684688e-07,1.87720313e-01
-6.38644687e-07,1.87670313e-01
-6.38604687e-07,1.87754688e-01
-6.38564687e-07,1.87493750e-01
-6.38524687e-07,1.87243750e-01
-6.38484687e-07,1.87332813e-01
-6.38444687e-07,1.87276563e-01
-6.38404688e-07,1.87318750e-01
-6.38364687e-07,1.87284375e-01
-6.38324687e-07,1.87314063e-01
-6.38284687e-07,1.87287500e-01
-6.38244687e-07,1.87312500e-01
-6.38204687e-07,1.87289063e-01
-6.38164687e-07,1.87310937e-01
-6.38124688e-07,1.87289063e-01
-6.38084687e-07,1.87310937e-01
-6.38044687e-07,1.87287500e-01
-6.38004687e-07,1.87312500e-01
-6.37964687e-07,1.87287500e-01
-6.37924687e-07,1.87314063e-01
-6.37884687e-07,1.87284375e-01
-6.37844688e-07,1.87317188e-01
-6.37804687e-07,1.87279688e-01
-6.37764687e-07,1.87325000e-01
-6.37724687e-07,1.87265625e-01
-6.37684687e-07,1.87359375e-01
-6.37644687e-07,1.87087500e-01
-6.37604687e-07,1.86850000e-01
-6.37564688e-07,1.86925000e-01
-6.37524687e-07,1.86884375e-01
-6.37484687e-07,1.86910938e-01
-6.37444687e-07,1.86892188e-01
-6.37404687e-07,1.86906250e-01
-6.37364687e-07,1.86895313e-01
-6.37324687e-07,1.86903125e-01
-6.37284688e-07,1.86896875e-01
-6.37244687e-07,1.86901563e-01
-6.37204687e-07,1.86898438e-01
-6.37164687e-07,1.86900000e-01
-6.37124687e-07,1.86900000e-01
-6.37084687e-07,1.86898438e-01
-6.37044687e-07,1.86901563e-01
-6.37004688e-07,1.86898438e-01
-6.36964687e-07,1.86903125e-01
-6.36924687e-07,1.86896875e-01
-6.36884687e-07,1.86903125e-01
-6.36844687e-07,1.86895313e-01
-6.36804687e-07,1.86904687e-01
-6.36764687e-07,1.86893750e-01
-6.36724688e-07,1.86907812e-01
-6.36684687e-07,1.86890625e-01
-6.36644687e-07,1.86910938e-01
