Model,MSO66B
Label,
Waveform Type,ANALOG
Horizontal Units,s
Sample Interval,4.00000000e-11
Record Length,25000
Zero Index,12499.12109375
Vertical Units,A
ANALOG_Thumbnail,
yOffset,1.84500000e-01
yPosition,0.00000000e+00

Labels,
TIME,CH1
-4.99964844e-07,1.87507844e-01
-4.99924844e-07,1.87525063e-01
-4.99884844e-07,1.87505125e-01
-4.99844844e-07,1.87532312e-01
-4.99804844e-07,1.87486094e-01
-4.99764844e-07,1.87633812e-01
-4.99724844e-07,1.87783344e-01
-4.99684844e-07,1.87726250e-01
-4.99644844e-07,1.87766125e-01
-4.99604844e-07,1.87731687e-01
-4.99564844e-07,1.87765219e-01
-4.99524844e-07,1.87728969e-01
-4.99484844e-07,1.87772469e-01
-4.99444844e-07,1.87709031e-01
-4.99404844e-07,1.87875781e-01
-4.99364844e-07,1.88003562e-01
-4.99324844e-07,1.87971844e-01
-4.99284844e-07,1.87980000e-01
-4.99244844e-07,1.87987250e-01
-4.99204844e-07,1.87956437e-01
-4.99164844e-07,1.88092375e-01
-4.99124844e-07,1.88251875e-01
-4.99084844e-07,1.88185719e-01
-4.99044844e-07,1.88233750e-01
-4.99004844e-07,1.88191156e-01
-4.98964844e-07,1.88236469e-01
-4.98924844e-07,1.88174844e-01
-4.98884844e-07,1.88336156e-01
-4.98844844e-07,1.88473000e-01
-4.98804844e-07,1.88426781e-01
-4.98764844e-07,1.88457594e-01
-4.98724844e-07,1.88430406e-01
-4.98684844e-07,1.88462125e-01
-4.98644844e-07,1.88413187e-01
-4.98604844e-07,1.88562719e-01
-4.98564844e-07,1.88710437e-01
-4.98524844e-07,1.88654250e-01
-4.98484844e-07,1.88694125e-01
-4.98444844e-07,1.88656969e-01
-4.98404844e-07,1.88698656e-01
-4.98364844e-07,1.88640656e-01
-4.98324844e-07,1.88799250e-01
-4.98284844e-07,1.88937906e-01
-4.98244844e-07,1.88891687e-01
-4.98204844e-07,1.88919781e-01
-4.98164844e-07,1.88898031e-01
-4.98124844e-07,1.88917969e-01
-4.98084844e-07,1.88898031e-01
-4.98044844e-07,1.88918875e-01
-4.98004844e-07,1.88894406e-01
-4.97964844e-07,1.88926125e-01
-4.97924844e-07,1.88875375e-01
-4.97884844e-07,1.89029438e-01
-4.97844844e-07,1.89170813e-01
-4.97804844e-07,1.89122781e-01
-4.97764844e-07,1.89151781e-01
-4.97724844e-07,1.89130937e-01
-4.97684844e-07,1.89147250e-01
-4.97644844e-07,1.89133656e-01
-4.97604844e-07,1.89145437e-01
-4.97564844e-07,1.89134562e-01
-4.97524844e-07,1.89144531e-01
-4.97484844e-07,1.89135469e-01
-4.97444844e-07,1.89144531e-01
-4.97404844e-07,1.89135469e-01
-4.97364844e-07,1.89143625e-01
-4.97324844e-07,1.89136375e-01
-4.97284844e-07,1.89143625e-01
-4.97244844e-07,1.89136375e-01
-4.97204844e-07,1.89143625e-01
-4.97164844e-07,1.89136375e-01
-4.97124844e-07,1.89143625e-01
-4.97084844e-07,1.89136375e-01
-4.97044844e-07,1.89143625e-01
-4.97004844e-07,1.89135469e-01
-4.96964844e-07,1.89144531e-01
-4.96924844e-07,1.89135469e-01
-4.96884844e-07,1.89144531e-01
-4.96844844e-07,1.89134562e-01
-4.96804844e-07,1.89145437e-01
-4.96764844e-07,1.89133656e-01
-4.96724844e-07,1.89147250e-01
-4.96684844e-07,1.89130937e-01
-4.96644844e-07,1.89151781e-01
