Model,MSO66B
Label,
Waveform Type,ANALOG
Horizontal Units,s
Sample Interval,4.00000000e-11
Record Length,25000
Zero Index,6249.11328125
Vertical Units,A
ANALOG_Thumbnail,
yOffset,1.84500000e-01
yPosition,0.00000000e+00

Labels,
TIME,CH1
-2.49964531e-07,1.73595094e-01
-2.49924531e-07,1.73596906e-01
-2.49884531e-07,1.73596000e-01
-2.49844531e-07,1.73595094e-01
-2.49804531e-07,1.73598719e-01
-2.49764531e-07,1.73590562e-01
-2.49724531e-07,1.73606875e-01
-2.49684531e-07,1.73570625e-01
-2.49644531e-07,1.73710188e-01
-2.49604531e-07,1.73866063e-01
-2.49564531e-07,1.73803531e-01
-2.49524531e-07,1.73847031e-01
-2.49484531e-07,1.73810781e-01
-2.49444531e-07,1.73843406e-01
-2.49404531e-07,1.73813500e-01
-2.49364531e-07,1.73842500e-01
-2.49324531e-07,1.73813500e-01
-2.49284531e-07,1.73842500e-01
-2.49244531e-07,1.73813500e-01
-2.49204531e-07,1.73843406e-01
-2.49164531e-07,1.73811688e-01
-2.49124531e-07,1.73846125e-01
-2.49084531e-07,1.73806250e-01
-2.49044531e-07,1.73855188e-01
-2.49004531e-07,1.73786312e-01
-2.48964531e-07,1.73959406e-01
-2.48924531e-07,1.74079938e-01
-2.48884531e-07,1.74054563e-01
-2.48844531e-07,1.74058187e-01
-2.48804531e-07,1.74066344e-01
-2.48764531e-07,1.74049125e-01
-2.48724531e-07,1.74078125e-01
-2.48684531e-07,1.74026469e-01
-2.48644531e-07,1.74183250e-01
-2.48604531e-07,1.74319188e-01
-2.48564531e-07,1.74280219e-01
-2.48524531e-07,1.74295625e-01
-2.48484531e-07,1.74296531e-01
-2.48444531e-07,1.74272062e-01
-2.48404531e-07,1.74400750e-01
-2.48364531e-07,1.74568406e-01
-2.48324531e-07,1.74491375e-01
-2.48284531e-07,1.74556625e-01
-2.48244531e-07,1.74479594e-01
-2.48204531e-07,1.74655406e-01
-2.48164531e-07,1.74777750e-01
-2.48124531e-07,1.74748750e-01
-2.48084531e-07,1.74756906e-01
-2.48044531e-07,1.74762344e-01
-2.48004531e-07,1.74735156e-01
-2.47964531e-07,1.74865656e-01
-2.47924531e-07,1.75032406e-01
-2.47884531e-07,1.74955375e-01
-2.47844531e-07,1.75020625e-01
-2.47804531e-07,1.74944500e-01
-2.47764531e-07,1.75117594e-01
-2.47724531e-07,1.75244469e-01
-2.47684531e-07,1.75206406e-01
-2.47644531e-07,1.75233594e-01
-2.47604531e-07,1.75195531e-01
-2.47564531e-07,1.75329656e-01
-2.47524531e-07,1.75497313e-01
-2.47484531e-07,1.75416656e-01
-2.47444531e-07,1.75489156e-01
-2.47404531e-07,1.75402156e-01
-2.47364531e-07,1.75589750e-01
-2.47324531e-07,1.75697594e-01
-2.47284531e-07,1.75685813e-01
-2.47244531e-07,1.75673125e-01
-2.47204531e-07,1.75703031e-01
-2.47164531e-07,1.75647750e-01
-2.47124531e-07,1.75810875e-01
-2.47084531e-07,1.75939563e-01
-2.47044531e-07,1.75908750e-01
-2.47004531e-07,1.75914187e-01
-2.46964531e-07,1.75927781e-01
-2.46924531e-07,1.75887906e-01
-2.46884531e-07,1.76035625e-01
-2.46844531e-07,1.76178813e-01
-2.46804531e-07,1.76133500e-01
-2.46764531e-07,1.76153438e-01
-2.46724531e-07,1.76150719e-01
-2.46684531e-07,1.76128969e-01
-2.46644531e-07,1.76256750e-01
