Model,MSO66B
Label,
Waveform Type,ANALOG
Horizontal Units,s
Sample Interval,4.00000000e-11
Record Length,25000
Zero Index,6999.05078125
Vertical Units,A
ANALOG_Thumbnail,
yOffset,1.84500000e-01
yPosition,0.00000000e+00

Labels,
TIME,CH1
-2.79962031e-07,1.82211719e-01
-2.79922031e-07,1.82146469e-01
-2.79882031e-07,1.82226219e-01
-2.79842031e-07,1.82044969e-01
-2.79802031e-07,1.81932594e-01
-2.79762031e-07,1.81945281e-01
-2.79722031e-07,1.81969750e-01
-2.79682031e-07,1.81836531e-01
-2.79642031e-07,1.81676125e-01
-2.79602031e-07,1.81744094e-01
-2.79562031e-07,1.81688812e-01
-2.79522031e-07,1.81753156e-01
-2.79482031e-07,1.81592750e-01
-2.79442031e-07,1.81453188e-01
-2.79402031e-07,1.81503937e-01
-2.79362031e-07,1.81466781e-01
-2.79322031e-07,1.81502125e-01
-2.79282031e-07,1.81461344e-01
-2.79242031e-07,1.81521156e-01
-2.79202031e-07,1.81358031e-01
-2.79162031e-07,1.81225719e-01
-2.79122031e-07,1.81263781e-01
-2.79082031e-07,1.81246562e-01
-2.79042031e-07,1.81252906e-01
-2.79002031e-07,1.81255625e-01
-2.78962031e-07,1.81241125e-01
-2.78922031e-07,1.81278281e-01
-2.78882031e-07,1.81136906e-01
-2.78842031e-07,1.80983750e-01
-2.78802031e-07,1.81041750e-01
-2.78762031e-07,1.81003688e-01
-2.78722031e-07,1.81032688e-01
-2.78682031e-07,1.81009125e-01
-2.78642031e-07,1.81029063e-01
-2.78602031e-07,1.81011844e-01
-2.78562031e-07,1.81027250e-01
-2.78522031e-07,1.81013656e-01
-2.78482031e-07,1.81026344e-01
-2.78442031e-07,1.81014563e-01
-2.78402031e-07,1.81024531e-01
-2.78362031e-07,1.81016375e-01
-2.78322031e-07,1.81022719e-01
-2.78282031e-07,1.81018188e-01
-2.78242031e-07,1.81020000e-01
-2.78202031e-07,1.81023625e-01
-2.78162031e-07,1.81010937e-01
-2.78122031e-07,1.81043563e-01
-2.78082031e-07,1.80908531e-01
-2.78042031e-07,1.80747219e-01
-2.78002031e-07,1.80815188e-01
-2.77962031e-07,1.80765344e-01
-2.77922031e-07,1.80808844e-01
-2.77882031e-07,1.80768062e-01
-2.77842031e-07,1.80807937e-01
-2.77802031e-07,1.80765344e-01
-2.77762031e-07,1.80815188e-01
-2.77722031e-07,1.80747219e-01
-2.77682031e-07,1.80917594e-01
-2.77642031e-07,1.81042656e-01
-2.77602031e-07,1.81010031e-01
-2.77562031e-07,1.81024531e-01
-2.77522031e-07,1.81018188e-01
-2.77482031e-07,1.81020906e-01
-2.77442031e-07,1.81020000e-01
-2.77402031e-07,1.81020000e-01
-2.77362031e-07,1.81020000e-01
-2.77322031e-07,1.81020906e-01
-2.77282031e-07,1.81017281e-01
-2.77242031e-07,1.81027250e-01
-2.77202031e-07,1.80999156e-01
-2.77162031e-07,1.81128750e-01
-2.77122031e-07,1.81296406e-01
-2.77082031e-07,1.81219375e-01
-2.77042031e-07,1.81281906e-01
-2.77002031e-07,1.81221187e-01
-2.76962031e-07,1.81287344e-01
-2.76922031e-07,1.81202156e-01
-2.76882031e-07,1.81390656e-01
-2.76842031e-07,1.81496688e-01
-2.76802031e-07,1.81487625e-01
-2.76762031e-07,1.81472219e-01
-2.76722031e-07,1.81504844e-01
-2.76682031e-07,1.81445937e-01
-2.76642031e-07,1.81612688e-01
